AL,consoles_games,2018,2,2018-02-01,2,1,1,0,50.000000,50.000000,33.5,34.5,1,12,-10,1,-10,0,1,0,3,5,1
AL,cool_stuff,2017,12,2017-12-01,1,1,0,0,100.000000,0.000000,48,27,-21,-21,-21,1,-21,0,0,0,4,4,NULL
AL,cool_stuff,2018,5,2018-05-01,2,2,0,0,100.000000,0.000000,40,13,-27,-27,-27,2,-27,0,0,0,5,5,NULL
AL,cool_stuff,2018,6,2018-06-01,2,2,0,0,100.000000,0.000000,32.5,15.5,-17,-13,-21,2,-17,0,0,0,4.5,4.5,NULL
AL,drinks,2017,11,2017-11-01,1,0,1,0,0.000000,100.000000,30,35,5,5,5,0,NULL,1,0,0,4,NULL,4
AL,electronics,2017,9,2017-09-01,1,1,0,0,100.000000,0.000000,25,12,-13,-13,-13,1,-13,0,0,0,5,5,NULL
AL,fixed_telephony,2017,10,2017-10-01,1,1,0,0,100.000000,0.000000,31,23,-8,-8,-8,1,-8,0,0,0,1,1,NULL
AL,food_drink,2018,4,2018-04-01,1,1,0,0,100.000000,0.000000,24,23,-1,-1,-1,1,-1,0,0,0,4,4,NULL
AL,furniture_decor,2017,7,2017-07-01,1,1,0,0,100.000000,0.000000,32,27,-5,-5,-5,1,-5,0,0,0,4,4,NULL
AL,furniture_decor,2017,8,2017-08-01,1,1,0,0,100.000000,0.000000,84,15,-69,-69,-69,1,-69,0,0,0,5,5,NULL
AL,furniture_living_room,2018,7,2018-07-01,1,1,0,0,100.000000,0.000000,30,23,-7,-7,-7,1,-7,0,0,0,4,4,NULL
AL,garden_tools,2017,1,2017-01-01,1,1,0,0,100.000000,0.000000,48,15,-33,-33,-33,1,-33,0,0,0,1,1,NULL
AL,garden_tools,2017,3,2017-03-01,1,0,1,0,0.000000,100.000000,36,49,13,13,13,0,NULL,0,1,0,1,NULL,1
AL,garden_tools,2017,4,2017-04-01,2,2,0,0,100.000000,0.000000,41.5,26,-15.5,-3,-28,2,-15.5,0,0,0,4.5,4.5,NULL
AL,garden_tools,2017,8,2017-08-01,2,2,0,0,100.000000,0.000000,37.5,19,-18.5,-18,-19,2,-18.5,0,0,0,4.5,4.5,NULL
AL,garden_tools,2018,7,2018-07-01,1,1,0,0,100.000000,0.000000,27,16,-11,-11,-11,1,-11,0,0,0,5,5,NULL
AL,health_beauty,2017,5,2017-05-01,6,6,0,0,100.000000,0.000000,36.5,19,-17.5,-5,-31,6,-17.5,0,0,0,4.17,4.17,NULL
AL,health_beauty,2018,5,2018-05-01,1,1,0,0,100.000000,0.000000,35,14,-21,-21,-21,1,-21,0,0,0,5,5,NULL
AL,health_beauty,2018,6,2018-06-01,4,4,0,0,100.000000,0.000000,34.5,18.8,-15.8,-10,-25,4,-15.8,0,0,0,4.5,4.5,NULL
AL,home_construction,2018,6,2018-06-01,1,1,0,0,100.000000,0.000000,36,16,-20,-20,-20,1,-20,0,0,0,5,5,NULL
AL,baby,2018,2,2018-02-01,1,1,0,0,100.000000,0.000000,66,22,-44,-44,-44,1,-44,0,0,0,3,3,NULL
AL,bed_bath_table,2017,7,2017-07-01,2,2,1,0,100.000000,50.000000,31.3,20.7,-10.7,16,-24,2,-24,0,0,1,3.67,5,1
AL,bed_bath_table,2017,9,2017-09-01,2,2,0,0,100.000000,0.000000,42,21.5,-20.5,-3,-38,2,-20.5,0,0,0,3.5,3.5,NULL
AL,bed_bath_table,2018,2,2018-02-01,1,0,1,0,0.000000,100.000000,26,30,4,4,4,0,NULL,1,0,0,NULL,NULL,NULL
AL,bed_bath_table,2018,3,2018-03-01,1,1,0,0,100.000000,0.000000,38,25,-13,-13,-13,1,-13,0,0,0,4,4,NULL
AL,bed_bath_table,2018,4,2018-04-01,1,1,0,0,100.000000,0.000000,26,17,-9,-9,-9,1,-9,0,0,0,1,1,NULL
AL,books_general_interest,2018,8,2018-08-01,1,2,0,0,200.000000,0.000000,38,13,-25,-25,-25,2,-25,0,0,0,1,1,NULL
AL,computers_accessories,2017,11,2017-11-01,4,3,4,0,75.000000,100.000000,32.4,37.9,5.4,19,-19,3,-12.7,0,0,4,5,5,5
AL,computers_accessories,2018,1,2018-01-01,2,2,0,0,100.000000,0.000000,31,15.5,-15.5,-14,-17,2,-15.5,0,0,0,4,4,NULL
AL,computers_accessories,2018,2,2018-02-01,4,4,1,0,100.000000,25.000000,33.6,32.2,-1.4,6,-6,4,-3.3,1,0,0,1.8,2,1
AL,computers_accessories,2018,3,2018-03-01,3,4,0,0,133.330000,0.000000,27,14,-13,-11,-14,4,-13,0,0,0,3.75,3.75,NULL
AL,computers_accessories,2018,4,2018-04-01,2,1,1,0,50.000000,50.000000,27.5,18.5,-9,3,-21,1,-21,1,0,0,4.5,4,5
